gene,module,program,umap1,umap2
SRPX,2,other,1.8868704,10.643868
CDC42,1,other,0.4532999,4.153033
CCT7,0,other,-1.4964067,7.249252
PNN,5,other,1.879603,5.8764834
CDK2AP2,1,other,1.9589207,4.6411347
TRAFD1,7,IFN_alpha,1.8497142,14.147317
FAM96B,0,other,-1.2272714,4.85865
PSMA3,0,IFN_alpha,-1.4225137,7.3480835
HSF1,0,other,-2.3908396,8.018215
NAP1L1,9,other,-1.614685,4.014781
EIF3M,9,other,-1.8409477,3.9664557
KIF5B,5,other,0.81457996,7.2603
TAF1D,5,other,2.9384096,5.6406665
ALKBH7,0,other,-1.1526672,6.721465
CBLB,1,other,4.2155466,4.7763953
CD248,2,other,1.7746176,10.7064705
NECTIN2,6,other,0.94018394,8.160052
LRPAP1,15,other,0.8095048,7.9225044
ADGRE5,1,other,4.673863,3.4920444
TXNL1,0,other,-1.6056962,6.6601157
TNFSF13B,4,other,2.8788972,8.037555
TMEM165,5,other,1.3725863,6.6997337
SELENOK,15,other,0.009508872,7.7121067
ZRANB2,5,other,2.1789794,6.048161
PDAP1,0,other,-2.0518212,6.594786
TBCB,0,other,-0.98662955,5.3046126
GTF3A,9,other,0.16658278,4.1766605
MRPL33,0,other,-1.1378412,6.6366405
PARP1,1,other,-1.3159314,7.73102
SRSF10,5,other,1.4381626,5.865322
CNIH1,2,other,0.00801875,7.7558994
NSA2,9,other,-1.640563,3.7284858
CSDE1,9,other,-1.8163545,3.9520156
CNPY3,4,other,3.1595254,6.5151744
IDS,1,other,3.151387,4.115247
PCM1,5,other,2.0733604,6.2782717
SCAF11,5,other,1.7648636,5.474395
SRI,0,IFN_gamma,-0.74801755,4.704524
DDX24,5,other,2.0181758,4.867247
MANF,15,other,0.22893433,8.255107
CDC42SE2,1,other,3.7279353,4.04765
BIN2,1,other,3.9219968,4.263112
METTL26,0,other,-1.8362622,6.0241804
AUP1,15,other,0.6201834,7.051122
FAM96A,4,other,2.5079412,7.088556
RAP1A,1,other,2.34178,3.8445556
CLTB,0,other,-1.7820638,5.898303
RSL24D1,9,other,-1.9688321,3.8623478
SF3B5,0,other,-1.7100322,5.089783
DDX3X,5,other,1.595465,5.300877
ZNF207,5,other,1.9691639,6.0935626
ILF3,5,other,1.030484,6.0905194
XRCC5,0,other,0.29166648,5.3812146
SPCS3,8,other,0.57295483,8.628254
DUSP23,6,other,0.5658994,8.188987
MEA1,0,other,-1.6774452,6.297714
HNRNPR,5,other,0.78249884,6.0598354
RHOF,1,other,3.9077601,3.6785197
MLEC,15,other,0.6103777,8.082556
NFIB,2,other,2.5903823,10.084573
CTNNA1,5,other,0.77972215,8.159189
RER1,15,other,0.35285684,7.842773
TPR,5,other,1.4039303,5.551365
CARHSP1,2,other,-0.9260131,7.102491
BAX,1,other,2.0509195,4.005281
AES,1,other,3.0831578,3.9469655
NDUFA4L2,6,other,2.7476451,10.376531
VCP,5,other,0.893883,5.617252
PSMC5,0,other,-1.177887,6.734166
ADIPOR1,0,other,-2.4083922,7.3195896
REL,4,other,3.3771927,6.3528247
TMEM123,1,other,2.256437,4.0485096
CCT8,0,other,-1.5889517,7.291273
MDH1,0,other,-1.4489461,7.235811
SMIM26,0,other,-1.5674666,6.0217905
CD83,16,other,3.7141669,6.843109
SELENOF,15,other,0.2468506,7.079817
NEDD8,0,other,-1.7945049,5.38557
ASPN,2,other,0.96002555,11.498038
POLR1D,9,other,-1.6869999,3.8781216
NDUFAF3,0,other,-1.7456903,5.530149
FNBP1,1,other,3.276497,4.1453166
DYNC1H1,5,other,1.3158182,6.243397
OLA1,0,other,-2.5838478,7.8137937
SEPT2,2,other,0.88708454,8.777965
MEAF6,1,other,1.1074427,4.914712
SMG1,5,other,2.7619882,5.967237
FLNB,20,other,-3.1788526,8.438314
FABP7,0,other,-3.022125,7.8889565
CD36,6,other,3.1222548,9.670695
MTCH1,0,other,-0.26842892,8.360971
IGHM,8,other,4.3151803,7.2840023
APH1A,0,other,-0.3123842,6.902153
TMEM147,0,other,-0.50585926,7.086143
SSB,0,other,-0.43271586,6.4083824
SCAMP2,1,other,2.6764698,4.093413
CTCF,7,G2M,1.4295588,14.700248
IFI27L2,2,other,2.5806074,4.696554
SPON2,2,other,1.2463642,10.696701
CD47,1,IFN_alpha,2.845939,4.0683727
HP1BP3,5,other,1.4684802,5.5465727
TCF25,5,other,1.5052159,5.902909
SBDS,2,other,0.7860037,9.238699
CAPZA2,4,other,1.5034838,7.6351542
GOLGA4,5,other,1.1393815,6.5573535
MOB1A,4,other,2.950206,6.5674877
CMTM6,4,other,2.899202,6.6918144
MYD88,18,IFN_gamma,1.8451804,2.6771717
SF3B2,0,other,0.166592,5.081203
SH3KBP1,1,other,3.2555895,4.063286
RAB5IF,0,other,-1.0097041,5.9638214
FKBP8,0,other,-0.9256838,4.566774
PAK2,1,other,1.751128,4.571934
OPTN,1,other,2.4483848,4.6744657
EIF5,5,other,0.72096735,5.7573867
MUCL1,0,other,-3.1090946,7.8798594
PRKAR1A,2,other,0.8272972,8.006069
IGF2,12,other,-0.6681555,10.334308
MVB12A,0,IFN_alpha,-1.8481985,7.864534
TMEM14B,0,other,-2.1269999,6.453218
WASF2,5,other,0.98487437,7.6149263
EIF3D,9,other,-2.0657654,4.0027676
TMC8,1,other,4.065631,4.31137
ELOVL5,1,other,2.3686912,5.444511
VPS29,0,other,-0.099273525,6.559226
RBMX,5,other,1.2253965,5.582059
VSIR,1,other,2.8317559,4.108865
BZW1,0,other,0.14775755,5.7076864
SLC39A4,0,other,-2.5438304,8.533353
RAB10,4,other,-0.18152796,7.015173
RNF149,1,other,2.8052118,4.0096684
FAAP20,0,other,-1.1825157,7.61609
CAST,5,other,1.2159244,5.805562
GLG1,2,other,1.0137293,10.075706
SRRM1,5,other,1.0151578,5.5095825
NDUFS7,0,other,-1.9117486,5.4664364
NSD3,5,other,2.5379953,5.682319
MZB1,8,other,0.0623537,12.260253
CAPRIN1,5,other,0.81459785,6.9353104
MAT2A,5,other,1.3934335,6.264639
RAB1B,1,other,1.7275219,4.9258347
TERF2IP,1,other,3.4458005,4.052812
PNRC2,5,other,1.3156145,4.902127
CDK4,0,other,-1.2810558,7.641426
EMD,0,other,-2.0708144,6.2094464
DENND2D,1,other,4.0776105,4.08961
KHDRBS1,5,other,0.8229324,5.4214225
UBE2N,1,other,-0.028738406,4.6311407
PAFAH1B3,0,other,-3.1659179,7.694354
KPNB1,5,other,1.2965811,5.5242367
RBBP4,0,other,-1.663605,7.555109
PTPN1,7,IFN_gamma,3.1978,4.512257
PPP1CC,9,other,-1.2197173,3.7357993
NOL7,0,other,-1.1226388,6.3486543
NAP1L4,1,other,3.0135956,4.801114
ZNF428,0,other,-0.79812175,7.6723924
ZEB2,4,other,2.3751948,8.019471
EWSR1,5,other,1.3135687,5.529028
LAMB2,2,other,1.6959687,10.125437
ROCK1,5,other,2.2718663,4.9716253
MAP1LC3B,4,other,1.4970784,3.997403
DNAJB6,0,other,0.043441117,5.701369
ZC3H15,0,other,0.0054793535,6.3348374
C12orf75,1,other,2.753906,4.323761
ANKRD44,1,other,3.8946087,4.82154
UBE2L3,1,other,-0.04795577,4.708305
SAMSN1,1,other,4.2346888,3.4732094
PPCS,0,other,-2.6074677,7.213087
BIRC3,1,other,4.3134365,3.9896412
ESAM,6,other,2.9281251,9.4370165
IRF2,18,IFN_alpha,1.7960168,2.5945292
PET100,0,other,-1.7455732,4.997762
MPHOSPH8,5,other,2.8964844,4.7630377
CYBB,4,other,3.092058,7.9623513
TSPAN3,2,other,0.053798053,9.889186
PSMD4,0,other,-1.6532583,7.486796
REX1BD,9,other,-0.027444925,4.725317
SELENOT,1,other,1.5365578,4.4614625
TGOLN2,5,other,1.6487843,5.993068
ILK,2,other,0.99531126,9.371857
SPPL2A,4,IFN_gamma,2.3909004,13.848276
IGKV3-20,8,other,-0.0832707,12.874792
NONO,5,other,0.58653766,5.919103
HNRNPM,0,other,0.5410389,5.5755024
CHST12,1,other,5.148615,3.3168726
OCIAD1,15,other,0.56622636,7.492676
ACTR2,1,other,2.276005,4.62259
PAIP2,1,other,-0.18925099,4.0333433
PRPF38B,1,other,3.1725152,4.5524716
NR4A1,19,other,1.8219372,5.1208305
PTP4A2,1,other,1.4650214,5.600227
DHRS7,1,other,3.1876807,3.9285407
EIF4H,0,other,-0.32770133,6.0258923
PAPOLA,5,other,1.0882859,5.9175014
PLPP1,2,other,2.024499,9.487919
PPP1R12A,2,other,2.7198873,4.7896166
DEF6,1,other,3.7862537,4.000925
RNF167,1,other,2.3784332,4.9264655
RBCK1,18,IFN_gamma,1.8949757,3.0490565
PRMT2,1,other,2.7188106,4.2481284
CD82,1,other,4.1277714,3.8964093
HNRNPAB,0,other,-1.8772764,6.8739157
MGLL,6,other,3.2023373,9.657068
SSNA1,0,other,-2.4668858,6.379974
CAPN2,2,other,1.7491128,5.500066
CBX5,7,G2M,0.45282376,15.207748
ERLEC1,15,other,0.15859124,8.423363
KRT17,11,other,-2.1262014,9.925583
COPS6,0,other,-1.4872861,6.957369
PNKD,0,other,-1.7381465,7.298605
SDC1,15,other,-0.33397713,9.076481
