group,celltype,PC1,PC2
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-169.3253666355435,47.56235515191312
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,52.71467407061095,-48.964627849012594
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,116.19632715919916,-53.66723754347588
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-120.58651852678005,11.846466256102639
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,41.31182699437865,41.9697083345471
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-127.8607205183604,-104.31343765122647
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-153.47331354986355,20.37230108906398
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-4.350142645974103,-69.58974110837099
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-235.85974291597168,33.21765299496621
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,17.568659203298065,-23.83539415597746
